epoch_id,TP9_delta,TP9_theta,TP9_alpha,TP9_beta,TP9_mean_band_power,AF7_delta,AF7_theta,AF7_alpha,AF7_beta,AF7_mean_band_power,AF8_delta,AF8_theta,AF8_alpha,AF8_beta,AF8_mean_band_power,TP10_delta,TP10_theta,TP10_alpha,TP10_beta,TP10_mean_band_power
10,5.086584545798389e-11,3.7246584581962383e-11,1.6007508595134185e-11,4.212461990342237e-11,3.65611396346257e-11,1.4104662751769716e-10,3.5663690624507423e-11,1.0112249963189404e-11,3.130186237965574e-11,5.453110762126243e-11,3.7535001545349145e-10,8.681110178158669e-11,1.7751685030568268e-10,5.620133471042773e-10,3.0042282866125954e-10,5.6769193059923575e-11,4.5496641420164374e-11,1.9900622778452628e-11,4.715780930071716e-11,4.233106663981443e-11
11,1.3041646418411917e-11,1.548810189436859e-11,1.5175245891397734e-11,3.2914638186568824e-11,1.9154908097686766e-11,9.834471493408895e-10,4.327327832744586e-11,1.723050210724415e-11,3.033262361858463e-11,2.6857088834854106e-10,1.526732364936636e-10,4.984256955641547e-11,7.702916892202667e-11,9.170123883351602e-10,2.9913934082681647e-10,2.483294279846001e-11,1.2802620658629296e-11,1.84183922854376e-11,3.2861815355620744e-11,2.2228942774536913e-11
12,1.1581063936680684e-09,3.677124240453056e-10,8.27917386843512e-11,9.47153336651237e-11,4.258314725157122e-10,5.008686625109747e-09,6.320037004728107e-10,7.208767983956775e-11,1.763646445358521e-10,1.4722856624894943e-09,1.2417200120158648e-08,1.7927838396121735e-10,1.5379039255620704e-10,6.302180540925044e-10,3.345121737692144e-09,2.0155207594695172e-09,4.511658981899891e-10,7.714283322135403e-11,1.0321165660018209e-10,6.617602868702607e-10
13,6.46855140335918e-10,2.7751639045584966e-10,4.6927315219417064e-11,4.0027804231941517e-11,2.5283166256078155e-10,2.687745292603699e-10,5.7721002132452075e-11,1.844825086784732e-11,2.3202449286229633e-11,9.203655788672473e-11,2.2855540617348943e-10,6.73611295995043e-11,6.484417214530575e-11,1.0011723252136995e-09,3.4048325828299974e-10,6.352624647337922e-10,2.5275507261365905e-10,4.4039148070815045e-11,4.5993043812111094e-11,2.4451243230759437e-10
14,1.3096478600642117e-09,4.818411732068387e-10,2.1692079001668128e-10,3.107257428665256e-10,5.797838915385643e-10,2.874683801767773e-09,1.1157307939283397e-09,2.26231741461763e-10,1.8693865397949976e-10,1.1008962477843438e-09,1.4304977433313893e-07,1.791542480595213e-08,5.330240861613931e-09,4.596035660925308e-09,4.272286891540758e-08,6.910173418649601e-09,1.3628240774226984e-09,4.86506498909053e-10,9.068776333812249e-10,2.4165954070906442e-09
15,1.5442064087212715e-10,5.472596119462076e-11,3.8967357999783636e-11,5.7747407447433034e-11,7.646534187849116e-11,1.7556647699349502e-09,3.521437361193734e-10,8.355680025072582e-11,1.3781802408018864e-10,5.822958325963094e-10,4.333326469799519e-08,4.696686749480134e-09,1.1454418078780885e-09,1.2537611335581882e-09,1.26072885972279e-08,1.9743905417794227e-10,1.4414824812961996e-10,6.32593924296301e-11,1.082209434325218e-10,1.2826690954242853e-10
16,4.6184201874396965e-11,2.7759730101310715e-11,2.4278989686385952e-11,6.427170373748369e-11,4.062365634989433e-11,1.7122506559088897e-10,7.294632438914933e-11,3.176337952736797e-11,7.39458048478533e-11,8.747014358881489e-11,3.1486526284711595e-09,5.623613457378295e-10,2.1368655083615614e-10,1.9451693923914612e-09,1.4674674793591518e-09,8.732071730596406e-11,3.007107559974492e-11,2.041883049230607e-11,7.833381472167367e-11,5.4036109529922174e-11
17,6.04714450117295e-11,1.9247782194058986e-11,2.399289020096139e-11,3.696597094147431e-11,3.516952208705605e-11,5.518110152481317e-11,1.1662392859411327e-11,3.626166831177079e-12,8.752500341251899e-12,1.980554038916337e-11,7.510947448452902e-09,1.244915197144107e-09,2.603662243862602e-10,2.7059255232086488e-09,2.9305385982979796e-09,6.945523356112882e-11,2.4389867790018263e-11,3.340458104284419e-11,4.777538831319041e-11,4.3756267676795425e-11
18,4.328871506884814e-11,4.4591236545566004e-11,3.6847860067235696e-11,5.059893647133537e-11,4.3831687038246295e-11,6.673878653885398e-11,2.2720521125255977e-11,7.775850355377642e-12,1.6742219642806952e-11,2.8494344415573637e-11,1.648074517936277e-08,3.24123913723906e-09,7.588069088748941e-10,2.2636319252225734e-09,5.686105787674824e-09,2.670451962167213e-10,1.6192663246704383e-10,1.0187087556488485e-10,7.800529931580585e-11,1.5221200089111392e-10
19,5.03079441290549e-10,9.316560881234939e-11,1.6762097035235536e-11,4.370751081257032e-11,1.6417866448767607e-10,1.4401587789380864e-10,5.1605995041961107e-11,2.248208330362389e-11,3.613816686022147e-11,6.356053077490377e-11,3.956586019463262e-09,7.435681838550046e-10,1.1214278039341135e-10,1.3510004853507142e-09,1.540824367265598e-09,7.133373351175103e-10,1.3685702713672978e-10,3.5953597199769745e-11,4.49466899418289e-11,2.3277366234895968e-10
